#of artifacts,artifact trend,perf. as reviewer,avg. quality of reviewer ,author's cummulated quality,duration(days),complexity,consistency in load,consistency in quality,total defects count
3,3,0,1586,0,35.66666667,0,1,3,70
2,1,0,963.5,0.052188552,5.5,0,0.142857143,0.150537634,14
1,0,0,1384,0.050252667,1,0,0.071428571,0.156424581,2
1,-1,0,1384,0.013483146,8,0,0.071428571,0.583333333,35
2,0,0,1479,0,7,0,0.142857143,14,21
1,-1,0,1241,0.054402692,13,0,0.071428571,0.144329897,1
2,-1,0,1479,0,35,0,0.142857143,14,0
3,2,0,1357.666667,0,14.33333333,0,0.214285714,14,0
1,1,0,201,0,10,0,0.071428571,14,0
1,0,0,1479,0,47,0,0.071428571,14,0
5,3,0,1541.4,0,24,10,0.263157895,19,12
2,0,9.5,1628,0.079761905,34,5,0.105263158,0.567164179,47
2,2,0,1118,0,8,5,0.105263158,19,0
2,0,0,1824,0,0.5,3,0.105263158,19,0
3,2,12,1628,0,18.33333333,5,0.157894737,19,4
1,-2,0,1628,0.005980861,22,2.5,0.052631579,7.6,6
1,-4,0,1628,0,14,2.5,0.052631579,19,0
2,1,2.5,1628,0.025059666,25.5,5,0.105263158,1.80952381,55
1,-1,40,1460,0.29216152,14,2.5,0.052631579,0.154471545,1
1,-2,2.5,1331,0.014577069,6,1,0.055555556,0.080717489,4
3,-1,0,1686,0.013989671,7.666666667,4,0.166666667,0.08411215,7
4,3,17.5,1639.5,0.001405872,7.75,5.5,0.222222222,0.837209302,12
2,-2,0,783.5,0.001798091,0,3,0.111111111,0.654545455,0
4,2,12,1857.5,0.008368201,14,6,0.222222222,0.140625,90
1,1,5,1687,0,7,1.5,0.055555556,18,15
2,0,0,1636.5,0.001797973,5,3,0.111111111,0.654545455,73
1,0,0,1608,0.015131708,7,1.5,0.055555556,0.07775378,5
22,22,0,1256.136364,0,3.863636364,43,1,22,39
1,1,32,1099,0,6,1.5,1,1,7
1,-1,0,516,0.001766091,14,1.5,0.333333333,0.333333333,8
2,2,132,991,0,3,3,0.666666667,3,35
1,0,0,1044,0.035221767,1,2.5,0.024390244,0.433862434,0
2,1,0,1475.5,0.027248973,2.5,4,0.048780488,0.561643836,19
1,-1,0,1245,0.027259149,3,2.5,0.024390244,0.561643836,0
2,-3,0,918.5,0.027269331,1,5,0.048780488,0.561643836,10
5,4,0,1128.2,0.027279522,0.8,10.5,0.12195122,0.561643836,0
1,0,28.5,301,0.02545863,3,1.5,0.024390244,0.602941176,1
1,-12,6,998,0.02635514,1,2.5,0.024390244,0.581560284,2
13,10,9,1535.076923,0.026364996,0.692307692,25.5,0.317073171,0.581560284,47
8,7,0,1305.75,0.028720627,0.5,20,0.195121951,0.532467532,42
1,-7,0,1943,0.028709918,1,2.5,0.024390244,0.532467532,7
1,-1,0,1953,0.027238806,1,2.5,0.024390244,0.561643836,3
